Run,Stage,Time (h),Combo #,μ_set (h⁻¹),Temperature (°C)
Run 1,Stage 1,0.0–10.0,9,0.1225,33.0
Run 1,Stage 2,10.0–20.0,6,0.11,31.0
Run 1,Stage 3,20.0–30.0,6,0.11,31.0
Run 2,Stage 1,0.0–10.0,7,0.1225,29.0
Run 2,Stage 2,10.0–20.0,1,0.135,31.0
Run 2,Stage 3,20.0–30.0,8,0.1475,29.0
Run 3,Stage 1,0.0–10.0,5,0.1475,33.0
Run 3,Stage 2,10.0–20.0,2,0.135,31.0
Run 3,Stage 3,20.0–30.0,7,0.1225,29.0
Run 4,Stage 1,0.0–10.0,3,0.135,31.0
Run 4,Stage 2,10.0–20.0,9,0.1225,33.0
Run 4,Stage 3,20.0–30.0,5,0.1475,33.0
Run 5,Stage 1,0.0–10.0,4,0.16,31.0
Run 5,Stage 2,10.0–20.0,8,0.1475,29.0
Run 5,Stage 3,20.0–30.0,4,0.16,31.0
